lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
Pondok Indah,Jakarta Selatan,4600000000,3.0,2.0,121,100,no,no,no,yes,no
Cengkareng,Jakarta Barat,2600000000,3.0,3.0,90,180,yes,no,no,yes,no
Cipinang,Jakarta Timur,1390000000,3.0,3.0,40,78,yes,no,no,no,no
Muara Karang,Jakarta Utara,4600000000,3.0,4.0,120,200,yes,no,yes,no,no
Tomang,Jakarta Barat,2490000000,4.0,4.0,48,120,no,no,no,no,yes
Green Lake City,Jakarta Barat,3180000000,3.0,3.0,120,150,no,no,no,yes,no
Permata Buana,Jakarta Barat,5500000000,3.0,3.0,144,200,yes,no,yes,no,no
Tamansari,Jakarta Barat,629000000,2.0,2.0,18,33,yes,no,no,no,no
Green Lake City,Jakarta Barat,2500000000,3.0,2.0,108,156,yes,no,no,no,no
Green Lake City,Jakarta Barat,2590000000,3.0,2.0,90,130,yes,no,no,no,no
Pondok Labu,Jakarta Selatan,960000000,3.0,2.0,49,90,yes,no,no,no,no
Pondok Labu,Jakarta Selatan,960000000,3.0,2.0,49,90,yes,no,no,no,no
Matraman,Jakarta Timur,818000000,2.0,2.0,30,59,no,no,no,no,yes
Senen,Jakarta Pusat,1170000000,2.0,3.0,49,72,no,no,yes,no,no
Cengkareng,Jakarta Barat,1180000000,3.0,2.0,75,85,yes,no,yes,no,no
Puri Mansion,Jakarta Barat,2700000000,3.0,3.0,90,150,yes,no,yes,no,no
Cakung,Jakarta Timur,1740000000,3.0,3.0,52,75,no,no,yes,no,no
Jatinegara,Jakarta Timur,1000000000,3.0,3.0,44,68,no,no,yes,no,yes
Jagakarsa,Jakarta Selatan,850000000,3.0,3.0,50,100,no,no,yes,no,no
Meruya,Jakarta Barat,1700000000,3.0,3.0,75,105,yes,no,yes,no,no
Meruya,Jakarta Barat,1950000000,3.0,3.0,87,85,no,no,yes,no,no
Meruya,Jakarta Barat,1600000000,3.0,3.0,60,70,yes,no,yes,no,no
Pejaten,Jakarta Selatan,3700000000,5.0,3.0,72,120,yes,no,no,no,no
Meruya,Jakarta Barat,2650000000,3.0,3.0,125,150,yes,no,no,no,yes
Daan Mogot,Jakarta Barat,2650000000,3.0,3.0,105,140,no,no,no,yes,no
Green Lake City,Jakarta Barat,2120000000,3.0,2.0,90,100,yes,no,yes,no,no
Kelapa Gading,Jakarta Utara,3300000000,3.0,3.0,108,180,no,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,5000000000,4.0,4.0,150,175,no,no,yes,no,no
Kota Wisata,Bogor,1180000000,4.0,2.0,121,158,no,no,no,no,no
Kota Wisata,Bogor,2040000000,5.0,2.0,150,150,yes,no,no,no,no
Rancamaya,Bogor,730000000,2.0,1.0,72,50,yes,no,no,no,no
Rancamaya,Bogor,730000000,2.0,1.0,72,50,yes,no,no,no,no
Cibubur,Bogor,2160000000,5.0,2.0,150,150,no,no,no,no,no
Sukaraja,Bogor,1350000000,3.0,3.0,147,126,yes,no,no,no,no
Cileungsi,Bogor,175000000,2.0,1.0,60,36,no,no,no,no,no
Tanah Sareal,Bogor,590000000,2.0,1.0,72,46,no,no,yes,no,no
Cibinong,Bogor,490000000,2.0,1.0,60,60,yes,no,no,no,no
Gunung Sindur,Bogor,1400000000,3.0,2.0,105,55,no,no,no,no,no
Kota Wisata,Bogor,1880000000,5.0,2.0,120,200,no,no,no,no,no
Rancamaya,Bogor,1450000000,2.0,2.0,141,110,no,no,no,no,no
Dramaga,Bogor,930000000,3.0,3.0,61,60,yes,no,no,no,no
Gunung Putri,Bogor,695000000,3.0,1.0,112,75,no,no,no,no,no
Parung Panjang,Bogor,1200000000,4.0,4.0,70,101,yes,no,no,no,no
Dramaga,Bogor,1800000000,9.0,9.0,61,136,no,no,yes,no,no
Gunung Putri,Bogor,1880000000,5.0,2.0,120,200,no,no,yes,no,no
Gunung Putri,Bogor,1500000000,4.0,3.0,105,122,no,no,yes,no,no
Cibinong,Bogor,610000000,2.0,1.0,72,41,no,yes,yes,no,no
Cibinong,Bogor,710000000,2.0,1.0,65,55,no,yes,yes,no,no
Gunung Putri,Bogor,2040000000,5.0,3.0,150,150,no,no,yes,no,no
Cileungsi,Bogor,1250000000,2.0,1.0,90,54,no,no,yes,no,no
Balumbang Jaya,Bogor,820000000,3.0,2.0,105,66,yes,no,no,no,no
Cibinong,Bogor,750000000,2.0,1.0,84,60,no,no,no,no,no
Cibinong,Bogor,810000000,2.0,1.0,105,45,yes,no,no,no,no
Cibinong,Bogor,1830000000,3.0,2.0,91,84,yes,no,no,no,no
Kota Wisata,Bogor,2090000000,3.0,2.0,128,107,no,no,yes,no,no
Cileungsi,Bogor,580000000,2.0,1.0,84,32,no,no,no,yes,no
Cileungsi,Bogor,590000000,2.0,1.0,72,43,no,no,yes,no,no
Cileungsi,Bogor,375000000,2.0,1.0,72,68,no,no,no,no,no
Sukaraja,Bogor,2100000000,2.0,1.0,112,98,no,no,no,no,no
Cibinong,Bogor,810000000,2.0,1.0,172,65,yes,no,no,no,no
Cileungsi,Bogor,960000000,2.0,1.0,88,88,yes,no,no,no,no
Cileungsi,Bogor,610000000,2.0,1.0,70,45,yes,no,no,no,no
Gunung Putri,Bogor,2680000000,3.0,4.0,200,198,no,no,no,no,no
Gunung Putri,Bogor,540000000,2.0,1.0,66,66,no,no,no,no,no
Bogor Barat,Bogor,1450000000,3.0,3.0,70,85,yes,no,no,no,no
Bogor Nirwana Residence,Bogor,1450000000,3.0,3.0,70,85,yes,no,no,no,no
Tanah Sareal,Bogor,500000000,2.0,1.0,72,39,no,yes,yes,no,no
Cibinong,Bogor,510000000,2.0,1.0,60,60,no,no,no,no,no
Cibubur,Bogor,650000000,2.0,1.0,60,34,no,no,yes,no,no
Tanah Sareal,Bogor,890000000,2.0,1.0,90,45,yes,yes,no,no,no
Cibinong,Bogor,1400000000,3.0,3.0,160,200,no,yes,yes,no,no
Gunung Putri,Bogor,1680000000,3.0,2.0,136,75,yes,no,no,no,no
Tanah Sareal,Bogor,730000000,2.0,2.0,65,115,yes,no,no,no,no
Tanah Sareal,Bogor,730000000,2.0,2.0,65,115,yes,no,no,no,no
Cibinong,Bogor,910000000,3.0,2.0,100,100,no,no,no,no,no
Cibinong,Bogor,650000000,3.0,2.0,72,90,yes,no,no,no,no
Cibinong,Bogor,1180000000,3.0,2.0,144,144,yes,no,no,no,no
Cileungsi,Bogor,1020000000,2.0,2.0,105,90,no,no,no,no,no
Cileungsi,Bogor,720000000,2.0,1.0,72,50,no,no,no,no,no
Cimahpar,Bogor,600000000,2.0,1.0,120,54,yes,no,yes,no,no
Tanah Sareal,Bogor,535000000,2.0,1.0,87,45,yes,no,no,no,no
Tanah Sareal,Bogor,1710000000,4.0,2.0,166,104,yes,no,no,no,no
Tanah Sareal,Bogor,535000000,2.0,1.0,84,38,yes,no,no,no,no
Bojong Gede,Bogor,970000000,4.0,2.0,60,120,yes,no,no,no,no
Sentul City,Bogor,1050000000,3.0,2.0,84,89,yes,no,yes,no,no
Cileungsi,Bogor,1900000000,3.0,4.0,128,105,no,no,yes,no,no
Cibinong,Bogor,610000000,2.0,1.0,72,41,no,yes,yes,no,no
Gunung Putri,Bogor,1050000000,4.0,3.0,90,140,no,no,yes,no,no
Sentul City,Bogor,790000000,3.0,2.0,81,75,yes,no,yes,no,no
Bondongan,Bogor,2000000000,2.0,1.0,100,80,no,no,yes,no,no
Tanah Sareal,Bogor,750000000,2.0,1.0,104,36,no,no,yes,no,no
Tanah Baru,Bogor,1700000000,5.0,3.0,114,100,no,no,yes,no,no
Jonggol,Bogor,325000000,1.0,1.0,114,37,no,no,yes,no,no
Gunung Sindur,Bogor,940000000,2.0,2.0,65,85,yes,no,no,no,no
Gunung Sindur,Bogor,590000000,2.0,1.0,66,36,yes,no,no,no,no
Curug,Bogor,1720000000,5.0,3.0,165,100,no,no,yes,no,no
Kedungwaringin,Bogor,1500000000,5.0,2.0,104,180,yes,no,yes,no,no
Kota Wisata,Bogor,2090000000,2.0,2.0,128,107,no,no,no,no,no
Kota Wisata,Bogor,1250000000,2.0,1.0,90,54,no,no,no,no,no
Parung Panjang,Bogor,540000000,2.0,1.0,72,36,yes,no,no,no,no
Sentul City,Bogor,1400000000,3.0,2.0,96,102,yes,no,no,no,no
Cibinong,Bogor,500000000,2.0,1.0,60,21,no,no,no,no,no
Gunung Putri,Bogor,1930000000,3.0,3.0,160,108,yes,no,no,no,no
Cibinong,Bogor,780000000,3.0,2.0,90,200,no,yes,yes,no,no
Kota Wisata,Bogor,1880000000,4.0,3.0,120,200,no,no,yes,no,no
Rancamaya,Bogor,1140000000,2.0,1.0,105,52,no,yes,yes,no,no
Gunung Sindur,Bogor,1070000000,3.0,2.0,81,51,no,no,no,no,no
Bojong Gede,Bogor,407000000,2.0,1.0,63,39,no,yes,yes,no,no
Tanah Sareal,Bogor,1350000000,3.0,2.0,180,140,no,no,yes,no,no
Gunung Sindur,Bogor,735000000,3.0,2.0,100,54,no,no,yes,no,no
Tanah Sareal,Bogor,650000000,2.0,1.0,72,46,yes,no,no,no,no
Sukaraja,Bogor,400000000,2.0,1.0,91,40,no,no,yes,no,no
Gunung Putri,Bogor,400000000,2.0,1.0,78,55,no,no,yes,no,no
Bojongsari,Bogor,571000000,2.0,1.0,60,36,yes,no,yes,no,no
Dramaga,Bogor,1800000000,9.0,9.0,61,136,no,no,yes,no,no
Parung Panjang,Bogor,1200000000,4.0,4.0,70,101,yes,no,no,no,no
Gunung Putri,Bogor,695000000,3.0,1.0,112,75,no,no,no,no,no
Dramaga,Bogor,930000000,3.0,3.0,61,60,yes,no,no,no,no
Rancamaya,Bogor,1450000000,2.0,2.0,141,110,no,no,no,no,no
Kota Wisata,Bogor,1880000000,5.0,2.0,120,200,no,no,no,no,no
Gunung Sindur,Bogor,1400000000,3.0,2.0,105,55,no,no,no,no,no
Cibinong,Bogor,490000000,2.0,1.0,60,60,yes,no,no,no,no
Tanah Sareal,Bogor,590000000,2.0,1.0,72,46,no,no,yes,no,no
Cileungsi,Bogor,175000000,2.0,1.0,60,36,no,no,no,no,no
Sukaraja,Bogor,1350000000,3.0,3.0,147,126,yes,no,no,no,no
Cibubur,Bogor,2160000000,5.0,2.0,150,150,no,no,no,no,no
Rancamaya,Bogor,730000000,2.0,1.0,72,50,yes,no,no,no,no
Kota Wisata,Bogor,2040000000,5.0,2.0,150,150,yes,no,no,no,no
Kota Wisata,Bogor,1180000000,4.0,2.0,121,158,no,no,no,no,no
Kota Wisata,Bogor,1400000000,3.0,2.0,72,144,no,no,no,no,no
Kota Wisata,Bogor,650000000,2.0,1.0,90,72,no,no,no,no,no
Cileungsi,Bogor,620000000,3.0,2.0,84,70,yes,no,no,no,no
Jonggol,Bogor,400000000,2.0,1.0,120,42,no,no,no,no,no
Cibinong,Bogor,1560000000,8.0,4.0,185,120,yes,no,no,no,no
Cibinong,Bogor,1340000000,3.0,2.0,131,76,yes,no,no,no,no
Cibinong,Bogor,1340000000,3.0,2.0,131,76,yes,no,no,no,no
Cibinong,Bogor,590000000,2.0,1.0,64,64,yes,no,no,no,no
Cibinong,Bogor,650000000,2.0,1.0,90,90,yes,no,no,no,no
Cibinong,Bogor,1400000000,2.0,3.0,109,130,yes,no,no,no,no
Parung Panjang,Bogor,425000000,2.0,1.0,72,39,no,no,no,no,no
Tanah Sareal,Bogor,1500000000,4.0,3.0,150,167,yes,no,no,no,no
Tanah Sareal,Bogor,730000000,2.0,2.0,65,115,yes,no,no,no,no
Tanah Sareal,Bogor,2140000000,3.0,2.0,193,170,yes,no,no,no,no
Tanah Sareal,Bogor,990000000,4.0,2.0,73,88,yes,no,no,no,no
Sentul City,Bogor,890000000,3.0,3.0,84,120,yes,no,no,no,no
Cileungsi,Bogor,590000000,2.0,1.0,77,52,yes,no,no,no,no
Cileungsi,Bogor,909000000,4.0,3.0,157,140,yes,no,no,no,no
Gunung Putri,Bogor,970000000,3.0,1.0,96,70,yes,no,no,no,no
Gunung Putri,Bogor,1400000000,3.0,2.0,72,144,yes,no,no,no,no
Parung Panjang,Bogor,649000000,2.0,1.0,72,39,yes,no,no,no,no
Bogor Barat,Bogor,1290000000,3.0,2.0,90,105,yes,no,no,no,no
Tanah Sareal,Bogor,860000000,2.0,1.0,72,54,no,no,no,no,no
Tanah Sareal,Bogor,950000000,2.0,2.0,84,48,yes,no,no,no,no
Gunung Putri,Bogor,1200000000,2.0,2.0,104,60,no,no,no,no,no
Tanah Sareal,Bogor,850000000,2.0,1.0,88,52,yes,no,no,no,no
Gunung Putri,Bogor,1400000000,3.0,2.0,72,144,no,no,yes,no,no
Gunung Putri,Bogor,810000000,2.0,1.0,105,45,no,no,yes,no,no
Kota Wisata,Bogor,2500000000,4.0,1.0,170,90,no,no,yes,no,no
Kota Wisata,Bogor,1820000000,3.0,3.0,120,200,no,no,yes,no,no
Sukaraja,Bogor,620000000,2.0,1.0,82,40,yes,no,no,no,no
Bojong Gede,Bogor,590000000,3.0,2.0,84,70,no,yes,yes,no,no
Tanah Sareal,Bogor,1020000000,3.0,1.0,78,94,yes,no,no,no,no
Tanah Sareal,Bogor,780000000,2.0,2.0,108,90,yes,no,no,no,no
Tanah Sareal,Bogor,750000000,1.0,1.0,105,80,yes,no,no,no,no
Bojong Gede,Bogor,1040000000,3.0,1.0,66,75,no,yes,yes,no,no
Bogor Barat,Bogor,1290000000,2.0,1.0,168,148,no,yes,yes,no,no
Parung Panjang,Bogor,540000000,2.0,1.0,72,39,yes,no,no,no,no
Tanah Sareal,Bogor,2140000000,3.0,2.0,193,170,yes,no,no,no,no
Tanah Sareal,Bogor,860000000,4.0,3.0,93,143,yes,no,no,no,no
Tanah Sareal,Bogor,1980000000,4.0,3.0,180,200,yes,no,no,no,no
Gunung Sindur,Bogor,1290000000,3.0,4.0,120,144,yes,no,no,no,no
Gunung Sindur,Bogor,1290000000,3.0,4.0,120,144,yes,no,no,no,no
Gunung Sindur,Bogor,1290000000,3.0,4.0,120,144,yes,no,no,no,no
Gunung Putri,Bogor,1240000000,3.0,1.0,150,91,yes,no,no,no,no
Gunung Putri,Bogor,1400000000,2.0,2.0,119,100,yes,no,no,no,no
Rancamaya,Bogor,1020000000,2.0,1.0,85,80,no,no,no,no,no
Kota Wisata,Bogor,1020000000,2.0,2.0,105,90,no,no,no,no,no
Gunung Sindur,Bogor,1180000000,3.0,3.0,120,98,yes,no,no,no,no
Cileungsi,Bogor,2040000000,5.0,2.0,150,150,no,no,no,no,no
Cileungsi,Bogor,1880000000,5.0,2.0,120,200,no,no,no,no,no
Cibinong,Bogor,470000000,2.0,2.0,60,60,yes,no,no,no,no
Kota Wisata,Bogor,1730000000,3.0,3.0,105,102,no,no,yes,no,no
Gunung Putri,Bogor,1680000000,3.0,2.0,186,110,no,no,yes,no,no
Cileungsi,Bogor,680000000,2.0,2.0,90,42,no,no,yes,no,no
Gunung Putri,Bogor,710000000,2.0,1.0,84,40,no,no,yes,no,no
Cileungsi,Bogor,870000000,4.0,2.0,90,130,yes,no,no,no,no
Cileungsi,Bogor,1180000000,3.0,2.0,160,150,yes,no,no,no,no
Cibinong,Bogor,1350000000,3.0,3.0,147,126,yes,no,no,no,no
Sindang Barang,Bogor,1120000000,2.0,1.0,135,50,yes,no,no,no,no
Legenda Wisata,Bogor,1980000000,4.0,3.0,136,105,yes,no,no,no,no
Cibinong,Bogor,710000000,2.0,1.0,65,55,yes,no,no,no,no
Bogor Barat,Bogor,1020000000,2.0,1.0,105,66,yes,no,no,no,no
Bogor Barat,Bogor,1500000000,2.0,1.0,156,144,yes,no,no,no,no
Bogor Barat,Bogor,2570000000,3.0,3.0,162,140,yes,no,no,no,no
Bogor Barat,Bogor,800000000,2.0,1.0,105,37,yes,no,no,no,no
Bogor Barat,Bogor,1100000000,2.0,1.0,138,105,yes,no,no,no,no
Sukaraja,Bogor,1350000000,3.0,3.0,147,126,yes,no,no,no,no
Sukaraja,Bogor,890000000,2.0,1.0,84,51,yes,no,no,no,no
Rancamaya,Bogor,1450000000,3.0,2.0,108,69,no,no,yes,no,no
Kedung Halang,Bogor,820000000,2.0,1.0,78,54,yes,no,no,no,no
Cibinong,Bogor,624000000,2.0,1.0,115,45,no,no,no,no,no
Gunung Sindur,Bogor,746000000,3.0,1.0,78,100,no,no,no,no,no
Cibinong,Bogor,450000000,3.0,1.0,60,120,no,no,no,no,no
Gunung Sindur,Bogor,300000000,2.0,1.0,80,45,no,no,no,no,no
Cibinong,Bogor,750000000,3.0,1.0,84,84,no,no,no,no,no
